dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,rounds_trained,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.7584580534563121,0.9993673523539575,0.999778002110224,0.8568923844749191,0.9228370984571783,0.27280448445727873,0.31263357400894165,16893000,50,123.61415958404541,70.13061332702637
NF-UNSW-NB15-v3,0.8221499602560034,0.7641516040307085,0.6794779182400262,0.751418430058916,0.7136397142820193,0.03524506631354804,1.31051504611969,1218000,50,123.61415958404541,5.445361375808716
NF-ToN-IoT-v3,0.7671952430553142,0.7526755930472913,0.7776482321240321,0.7049263717496098,0.7395037596575659,0.225502140535227,1.0673904418945312,20123000,50,123.61415958404541,89.26745390892029
NF-CICIDS2018-v3,0.8667135308338472,0.43107799778300837,0.4715412795198397,0.7758614349281066,0.5865799224559328,0.11767196507218555,1.2935371398925781,17566000,50,123.61415958404541,102.50709080696106
