dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,rounds_trained,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.6155666859250267,0.9987780990650559,0.9995490397002712,0.9615034476761344,0.9801571900596577,0.6219636487175132,0.7585862278938293,16893000,50,119.10318779945374,70.42837595939636
NF-UNSW-NB15-v3,0.7283155407936083,0.33310312253601143,0.3522450328390268,0.619297911163158,0.4490683904433086,0.11323987243679835,0.7812286019325256,1218000,50,119.10318779945374,5.583543539047241
NF-ToN-IoT-v3,0.7542970463043424,0.7261505327687208,0.7514162715146615,0.6507531944757237,0.6974713840652935,0.24085625199594288,0.94118332862854,20123000,50,119.10318779945374,87.97850251197815
NF-CICIDS2018-v3,0.7689401041752131,0.21203365458771428,0.28090578885208584,0.8938587613982016,0.4274730633290128,0.3096645525224405,2.4277939796447754,17566000,50,119.10318779945374,100.56678986549377
