dataset,seed,auc_roc,pr_auc,precision,recall,f1,fpr
NF-BoT-IoT-v3,42,0.6531524964328864,0.9987264985312057,0.999638446274352,0.9632018432784444,0.9810819547451084,0.4994904025819602
NF-UNSW-NB15-v3,42,0.8439227928137357,0.7519674333536349,0.9183761630482942,0.7526621095345734,0.8273023443775351,0.0066516645409141
NF-ToN-IoT-v3,42,0.7822270345097068,0.7603402652745045,0.8076279878187977,0.6932115608620645,0.7460585090842444,0.1847335757788639
NF-CICIDS2018-v3,42,0.7835878823044741,0.2442692784403427,0.2874159442724458,0.8867384224645285,0.4341213868216937,0.2975214351422256
