dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.7294981396388308,0.9993467921524796,0.9997024174154295,0.95899462515341,0.9789255042698348,0.40929165958892477,0.14624467492103577,16893000,7.460805177688599,69.33272552490234
NF-UNSW-NB15-v3,0.9193018511488531,0.5398235038547841,0.5818201491881217,0.7809943989033834,0.6668526958732521,0.05581567063202999,0.5159932374954224,1218000,28.143425464630127,5.9860169887542725
NF-ToN-IoT-v3,0.7671135358514944,0.7267186200829434,0.7910539616636237,0.6962951488239404,0.7406560195995705,0.20576472001626553,0.8866478800773621,20123000,74.0669367313385,85.0011293888092
NF-CICIDS2018-v3,0.9548352020134964,0.8987945810656699,0.7523419700484432,0.8681736753299287,0.8061180959340999,0.03867597104705432,0.658049464225769,17566000,85.85435175895691,97.04464197158813
