dataset,seed,auc_roc,pr_auc,precision,recall,f1,fpr
NF-BoT-IoT-v3,42,0.6899132877558183,0.9990933370995372,0.9996476222394158,0.8965383793807393,0.9452896060076148,0.4531170375403431
NF-UNSW-NB15-v3,42,0.8185548543579642,0.7378267292655454,0.947417217027024,0.7514093521065388,0.8381057491747839,0.0041467969739394
NF-ToN-IoT-v3,42,0.7668202041963654,0.7517903500443229,0.7803859038174007,0.6984997283449824,0.7371757896162392,0.2199209235462665
NF-CICIDS2018-v3,42,0.951507290553838,0.8675581717659296,0.8206143779495643,0.8798616527076057,0.8492058809429864,0.0260291741174248
