dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.7346342444534665,0.9993997118823746,0.9996788830927009,0.899201574577581,0.946781902060103,0.41413283506030235,0.2211233526468277,16893000,61.3917510509491,18.27257466316223
NF-UNSW-NB15-v3,0.9549695376851197,0.5800637401168962,0.3888579551530482,0.9573063899706782,0.5530620486382445,0.14960152295948073,0.008910495787858963,1218000,182.8390440940857,2.408712148666382
NF-ToN-IoT-v3,0.7748557732651805,0.7151083612378344,0.7856100007074842,0.8391739240546119,0.8115090468620638,0.2562117322536263,0.5670989751815796,20123000,172.56521320343018,25.779057502746582
NF-CICIDS2018-v3,0.9538698282118658,0.8170793480272045,0.5282926791201723,0.9052888420004958,0.6672204693935702,0.10939127421231157,0.14827974140644073,17566000,201.8346734046936,31.25530505180359
