dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.8046135977696801,0.9994553791472349,0.9997621002502668,0.9472254562553691,0.9727849655660024,0.3231696959402072,0.2937568724155426,16893000,63.081918478012085,18.644052505493164
NF-UNSW-NB15-v3,0.9306211424602315,0.7702181758872608,0.9717146607501713,0.7593888722459762,0.8525305232261878,0.0021979648740841438,0.09803825616836548,1218000,182.37227582931519,2.218008518218994
NF-ToN-IoT-v3,0.7337145755679114,0.6785065314206751,0.7535297680885712,0.7197581804487629,0.7362569080020742,0.26339054588781274,0.6013143062591553,20123000,172.25644874572754,23.99232006072998
NF-CICIDS2018-v3,0.9569870590516694,0.8794019085654873,0.7675920551733556,0.8589829983938762,0.8107200754740624,0.035196749460433364,0.43748873472213745,17566000,204.67378282546997,32.47932028770447
