dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,rounds_trained,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.6531524964328864,0.9987264985312057,0.999638446274352,0.9632018432784444,0.9810819547451084,0.49949040258196026,0.36939382553100586,16893000,50,141.51047897338867,73.27625274658203
NF-UNSW-NB15-v3,0.8439227928137357,0.7519674333536349,0.9183761630482942,0.7526621095345734,0.8273023443775351,0.006651664540914191,1.884696125984192,1218000,50,141.51047897338867,6.014143943786621
NF-ToN-IoT-v3,0.7822270345097068,0.7603402652745045,0.8076279878187977,0.6932115608620645,0.7460585090842444,0.1847335757788639,1.020200490951538,20123000,50,141.51047897338867,93.38869071006775
NF-CICIDS2018-v3,0.7835878823044741,0.24426927844034274,0.2874159442724458,0.8867384224645285,0.4341213868216937,0.2975214351422256,0.8144319653511047,17566000,50,141.51047897338867,107.91917586326599
