dataset,seed,auc_roc,pr_auc,precision,recall,f1,fpr
NF-BoT-IoT-v3,42,0.6155666859250267,0.998778099065056,0.9995490397002712,0.9615034476761344,0.9801571900596576,0.6219636487175132
NF-UNSW-NB15-v3,42,0.7283155407936083,0.3331031225360114,0.3522450328390268,0.619297911163158,0.4490683904433086,0.1132398724367983
NF-ToN-IoT-v3,42,0.7542970463043424,0.7261505327687208,0.7514162715146615,0.6507531944757237,0.6974713840652935,0.2408562519959428
NF-CICIDS2018-v3,42,0.7689401041752131,0.2120336545877142,0.2809057888520858,0.8938587613982016,0.4274730633290128,0.3096645525224405
