dataset,auc_roc,pr_auc,precision,recall,f1,fpr,threshold,n_eval_edges,rounds_trained,train_time_sec,infer_time_sec
NF-BoT-IoT-v3,0.6899132877558183,0.9990933370995372,0.9996476222394158,0.8965383793807393,0.9452896060076147,0.4531170375403431,0.32563871145248413,16893000,50,124.41952061653137,72.94129538536072
NF-UNSW-NB15-v3,0.8185548543579642,0.7378267292655454,0.947417217027024,0.7514093521065388,0.8381057491747839,0.0041467969739394485,3.738646984100342,1218000,50,124.41952061653137,6.019220352172852
NF-ToN-IoT-v3,0.7668202041963654,0.7517903500443229,0.7803859038174007,0.6984997283449824,0.7371757896162392,0.21992092354626655,1.0877097845077515,20123000,50,124.41952061653137,92.91953873634338
NF-CICIDS2018-v3,0.9515072905538379,0.8675581717659296,0.8206143779495643,0.8798616527076057,0.8492058809429864,0.026029174117424874,0.8087571263313293,17566000,50,124.41952061653137,107.21497774124146
