dataset,seed,auc_roc,pr_auc,precision,recall,f1,fpr
NF-BoT-IoT-v3,42,0.7584580534563121,0.9993673523539576,0.999778002110224,0.8568923844749191,0.9228370984571784,0.2728044844572787
NF-UNSW-NB15-v3,42,0.8221499602560034,0.7641516040307085,0.6794779182400262,0.751418430058916,0.7136397142820193,0.035245066313548
NF-ToN-IoT-v3,42,0.7671952430553142,0.7526755930472913,0.7776482321240321,0.7049263717496098,0.7395037596575659,0.225502140535227
NF-CICIDS2018-v3,42,0.8667135308338472,0.4310779977830083,0.4715412795198397,0.7758614349281066,0.5865799224559328,0.1176719650721855
